"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","04-01","    30.8","    38.2","    23.4"
"USW00026451","04-02","    31.3","    38.7","    23.8"
"USW00026451","04-03","    31.7","    39.2","    24.3"
"USW00026451","04-04","    32.2","    39.6","    24.7"
"USW00026451","04-05","    32.7","    40.1","    25.2"
"USW00026451","04-06","    33.1","    40.6","    25.7"
"USW00026451","04-07","    33.6","    41.1","    26.2"
"USW00026451","04-08","    34.1","    41.6","    26.6"
"USW00026451","04-09","    34.6","    42.1","    27.1"
"USW00026451","04-10","    35.1","    42.6","    27.6"
"USW00026451","04-11","    35.6","    43.1","    28.1"
"USW00026451","04-12","    36.0","    43.5","    28.5"
"USW00026451","04-13","    36.5","    44.0","    29.0"
"USW00026451","04-14","    37.0","    44.5","    29.5"
"USW00026451","04-15","    37.5","    45.0","    29.9"
"USW00026451","04-16","    37.9","    45.5","    30.4"
"USW00026451","04-17","    38.4","    46.0","    30.8"
"USW00026451","04-18","    38.8","    46.4","    31.2"
"USW00026451","04-19","    39.3","    46.9","    31.7"
"USW00026451","04-20","    39.7","    47.4","    32.1"
"USW00026451","04-21","    40.1","    47.8","    32.5"
"USW00026451","04-22","    40.6","    48.3","    32.9"
"USW00026451","04-23","    41.0","    48.7","    33.3"
"USW00026451","04-24","    41.4","    49.1","    33.6"
"USW00026451","04-25","    41.8","    49.5","    34.0"
"USW00026451","04-26","    42.1","    49.9","    34.3"
"USW00026451","04-27","    42.5","    50.3","    34.7"
"USW00026451","04-28","    42.9","    50.7","    35.0"
"USW00026451","04-29","    43.2","    51.1","    35.3"
"USW00026451","04-30","    43.6","    51.5","    35.6"
