"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","01-01","    17.6","    24.6","    10.7"
"USW00014922","01-02","    17.4","    24.4","    10.5"
"USW00014922","01-03","    17.3","    24.2","    10.3"
"USW00014922","01-04","    17.1","    24.1","    10.1"
"USW00014922","01-05","    16.9","    24.0","     9.9"
"USW00014922","01-06","    16.8","    23.8","     9.7"
"USW00014922","01-07","    16.6","    23.7","     9.5"
"USW00014922","01-08","    16.5","    23.6","     9.3"
"USW00014922","01-09","    16.4","    23.5","     9.2"
"USW00014922","01-10","    16.2","    23.4","     9.0"
"USW00014922","01-11","    16.1","    23.4","     8.9"
"USW00014922","01-12","    16.0","    23.3","     8.8"
"USW00014922","01-13","    15.9","    23.3","     8.6"
"USW00014922","01-14","    15.9","    23.2","     8.5"
"USW00014922","01-15","    15.8","    23.2","     8.4"
"USW00014922","01-16","    15.7","    23.2","     8.3"
"USW00014922","01-17","    15.7","    23.1","     8.3"
"USW00014922","01-18","    15.7","    23.1","     8.2"
"USW00014922","01-19","    15.6","    23.2","     8.1"
"USW00014922","01-20","    15.6","    23.2","     8.1"
"USW00014922","01-21","    15.6","    23.2","     8.1"
"USW00014922","01-22","    15.7","    23.3","     8.1"
"USW00014922","01-23","    15.7","    23.3","     8.1"
"USW00014922","01-24","    15.7","    23.4","     8.1"
"USW00014922","01-25","    15.8","    23.5","     8.1"
"USW00014922","01-26","    15.9","    23.6","     8.1"
"USW00014922","01-27","    15.9","    23.7","     8.2"
"USW00014922","01-28","    16.0","    23.8","     8.3"
"USW00014922","01-29","    16.2","    23.9","     8.4"
"USW00014922","01-30","    16.3","    24.1","     8.5"
"USW00014922","01-31","    16.4","    24.3","     8.6"
