"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","02-01","    16.6","    24.4","     8.8"
"USW00014922","02-02","    16.8","    24.6","     8.9"
"USW00014922","02-03","    17.0","    24.8","     9.1"
"USW00014922","02-04","    17.2","    25.1","     9.3"
"USW00014922","02-05","    17.4","    25.3","     9.5"
"USW00014922","02-06","    17.6","    25.5","     9.8"
"USW00014922","02-07","    17.9","    25.8","    10.0"
"USW00014922","02-08","    18.2","    26.1","    10.3"
"USW00014922","02-09","    18.4","    26.4","    10.5"
"USW00014922","02-10","    18.7","    26.7","    10.8"
"USW00014922","02-11","    19.1","    27.0","    11.1"
"USW00014922","02-12","    19.4","    27.3","    11.5"
"USW00014922","02-13","    19.7","    27.6","    11.8"
"USW00014922","02-14","    20.1","    28.0","    12.1"
"USW00014922","02-15","    20.4","    28.3","    12.5"
"USW00014922","02-16","    20.8","    28.7","    12.9"
"USW00014922","02-17","    21.2","    29.1","    13.3"
"USW00014922","02-18","    21.6","    29.5","    13.7"
"USW00014922","02-19","    22.0","    29.9","    14.1"
"USW00014922","02-20","    22.4","    30.3","    14.5"
"USW00014922","02-21","    22.8","    30.7","    14.9"
"USW00014922","02-22","    23.2","    31.1","    15.3"
"USW00014922","02-23","    23.6","    31.5","    15.7"
"USW00014922","02-24","    24.1","    32.0","    16.2"
"USW00014922","02-25","    24.5","    32.4","    16.6"
"USW00014922","02-26","    25.0","    32.9","    17.1"
"USW00014922","02-27","    25.4","    33.3","    17.5"
"USW00014922","02-28","    25.9","    33.8","    18.0"
