"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","12-01","    27.4","    34.2","    20.6"
"USW00014922","12-02","    27.0","    33.8","    20.2"
"USW00014922","12-03","    26.5","    33.3","    19.7"
"USW00014922","12-04","    26.1","    32.9","    19.3"
"USW00014922","12-05","    25.7","    32.5","    18.9"
"USW00014922","12-06","    25.3","    32.1","    18.5"
"USW00014922","12-07","    24.9","    31.7","    18.1"
"USW00014922","12-08","    24.5","    31.3","    17.7"
"USW00014922","12-09","    24.1","    30.9","    17.3"
"USW00014922","12-10","    23.7","    30.5","    17.0"
"USW00014922","12-11","    23.4","    30.1","    16.6"
"USW00014922","12-12","    23.0","    29.8","    16.2"
"USW00014922","12-13","    22.7","    29.4","    15.9"
"USW00014922","12-14","    22.3","    29.1","    15.6"
"USW00014922","12-15","    22.0","    28.7","    15.2"
"USW00014922","12-16","    21.7","    28.4","    14.9"
"USW00014922","12-17","    21.3","    28.1","    14.6"
"USW00014922","12-18","    21.0","    27.8","    14.3"
"USW00014922","12-19","    20.7","    27.5","    14.0"
"USW00014922","12-20","    20.5","    27.2","    13.7"
"USW00014922","12-21","    20.2","    27.0","    13.4"
"USW00014922","12-22","    19.9","    26.7","    13.1"
"USW00014922","12-23","    19.6","    26.4","    12.8"
"USW00014922","12-24","    19.4","    26.2","    12.6"
"USW00014922","12-25","    19.1","    26.0","    12.3"
"USW00014922","12-26","    18.9","    25.7","    12.1"
"USW00014922","12-27","    18.7","    25.5","    11.8"
"USW00014922","12-28","    18.4","    25.3","    11.6"
"USW00014922","12-29","    18.2","    25.1","    11.3"
"USW00014922","12-30","    18.0","    24.9","    11.1"
"USW00014922","12-31","    17.8","    24.7","    10.9"
