"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","09-01","    53.9","    60.5","    47.2"
"USW00026451","09-02","    53.6","    60.2","    46.9"
"USW00026451","09-03","    53.3","    59.9","    46.7"
"USW00026451","09-04","    53.0","    59.6","    46.4"
"USW00026451","09-05","    52.7","    59.3","    46.1"
"USW00026451","09-06","    52.4","    59.0","    45.8"
"USW00026451","09-07","    52.1","    58.7","    45.5"
"USW00026451","09-08","    51.8","    58.4","    45.2"
"USW00026451","09-09","    51.5","    58.1","    44.9"
"USW00026451","09-10","    51.2","    57.7","    44.6"
"USW00026451","09-11","    50.9","    57.4","    44.3"
"USW00026451","09-12","    50.6","    57.1","    44.0"
"USW00026451","09-13","    50.2","    56.7","    43.7"
"USW00026451","09-14","    49.9","    56.4","    43.4"
"USW00026451","09-15","    49.6","    56.1","    43.1"
"USW00026451","09-16","    49.3","    55.7","    42.8"
"USW00026451","09-17","    49.0","    55.4","    42.5"
"USW00026451","09-18","    48.6","    55.0","    42.2"
"USW00026451","09-19","    48.3","    54.6","    41.9"
"USW00026451","09-20","    47.9","    54.3","    41.6"
"USW00026451","09-21","    47.6","    53.9","    41.3"
"USW00026451","09-22","    47.2","    53.5","    41.0"
"USW00026451","09-23","    46.9","    53.1","    40.7"
"USW00026451","09-24","    46.5","    52.7","    40.3"
"USW00026451","09-25","    46.2","    52.3","    40.0"
"USW00026451","09-26","    45.8","    51.9","    39.6"
"USW00026451","09-27","    45.4","    51.5","    39.3"
"USW00026451","09-28","    45.0","    51.1","    38.9"
"USW00026451","09-29","    44.6","    50.7","    38.6"
"USW00026451","09-30","    44.2","    50.2","    38.2"
