"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","10-01","    56.7","    66.1","    47.4"
"USW00014922","10-02","    56.2","    65.6","    46.9"
"USW00014922","10-03","    55.8","    65.1","    46.5"
"USW00014922","10-04","    55.3","    64.5","    46.0"
"USW00014922","10-05","    54.8","    64.0","    45.5"
"USW00014922","10-06","    54.3","    63.5","    45.1"
"USW00014922","10-07","    53.8","    63.0","    44.7"
"USW00014922","10-08","    53.3","    62.4","    44.2"
"USW00014922","10-09","    52.8","    61.9","    43.8"
"USW00014922","10-10","    52.3","    61.3","    43.3"
"USW00014922","10-11","    51.9","    60.8","    42.9"
"USW00014922","10-12","    51.4","    60.3","    42.5"
"USW00014922","10-13","    50.9","    59.7","    42.1"
"USW00014922","10-14","    50.4","    59.2","    41.7"
"USW00014922","10-15","    49.9","    58.7","    41.2"
"USW00014922","10-16","    49.5","    58.1","    40.8"
"USW00014922","10-17","    49.0","    57.6","    40.4"
"USW00014922","10-18","    48.5","    57.0","    40.0"
"USW00014922","10-19","    48.0","    56.5","    39.6"
"USW00014922","10-20","    47.6","    55.9","    39.2"
"USW00014922","10-21","    47.1","    55.4","    38.8"
"USW00014922","10-22","    46.6","    54.9","    38.4"
"USW00014922","10-23","    46.2","    54.3","    38.0"
"USW00014922","10-24","    45.7","    53.8","    37.6"
"USW00014922","10-25","    45.2","    53.3","    37.2"
"USW00014922","10-26","    44.7","    52.7","    36.8"
"USW00014922","10-27","    44.3","    52.2","    36.3"
"USW00014922","10-28","    43.8","    51.6","    35.9"
"USW00014922","10-29","    43.3","    51.1","    35.5"
"USW00014922","10-30","    42.8","    50.6","    35.1"
"USW00014922","10-31","    42.4","    50.0","    34.7"
