"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","03-01","    26.3","    34.3","    18.4"
"USW00014922","03-02","    26.8","    34.8","    18.9"
"USW00014922","03-03","    27.3","    35.2","    19.3"
"USW00014922","03-04","    27.7","    35.7","    19.8"
"USW00014922","03-05","    28.2","    36.2","    20.2"
"USW00014922","03-06","    28.7","    36.7","    20.7"
"USW00014922","03-07","    29.1","    37.2","    21.1"
"USW00014922","03-08","    29.6","    37.7","    21.5"
"USW00014922","03-09","    30.1","    38.2","    22.0"
"USW00014922","03-10","    30.6","    38.7","    22.4"
"USW00014922","03-11","    31.0","    39.2","    22.9"
"USW00014922","03-12","    31.5","    39.7","    23.3"
"USW00014922","03-13","    32.0","    40.2","    23.7"
"USW00014922","03-14","    32.4","    40.7","    24.2"
"USW00014922","03-15","    32.9","    41.2","    24.6"
"USW00014922","03-16","    33.3","    41.7","    25.0"
"USW00014922","03-17","    33.8","    42.2","    25.4"
"USW00014922","03-18","    34.3","    42.7","    25.8"
"USW00014922","03-19","    34.7","    43.2","    26.3"
"USW00014922","03-20","    35.2","    43.7","    26.7"
"USW00014922","03-21","    35.6","    44.2","    27.1"
"USW00014922","03-22","    36.1","    44.7","    27.5"
"USW00014922","03-23","    36.5","    45.2","    27.9"
"USW00014922","03-24","    37.0","    45.7","    28.3"
"USW00014922","03-25","    37.4","    46.2","    28.7"
"USW00014922","03-26","    37.9","    46.7","    29.1"
"USW00014922","03-27","    38.3","    47.2","    29.5"
"USW00014922","03-28","    38.8","    47.7","    29.9"
"USW00014922","03-29","    39.2","    48.2","    30.3"
"USW00014922","03-30","    39.7","    48.7","    30.7"
"USW00014922","03-31","    40.1","    49.2","    31.1"
