"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","02-01","    18.8","    24.5","    13.1"
"USW00026451","02-02","    19.0","    24.7","    13.3"
"USW00026451","02-03","    19.2","    24.9","    13.5"
"USW00026451","02-04","    19.4","    25.1","    13.7"
"USW00026451","02-05","    19.6","    25.4","    13.9"
"USW00026451","02-06","    19.9","    25.6","    14.1"
"USW00026451","02-07","    20.1","    25.8","    14.3"
"USW00026451","02-08","    20.3","    26.1","    14.5"
"USW00026451","02-09","    20.5","    26.3","    14.7"
"USW00026451","02-10","    20.7","    26.5","    14.8"
"USW00026451","02-11","    20.9","    26.7","    15.0"
"USW00026451","02-12","    21.0","    26.9","    15.2"
"USW00026451","02-13","    21.2","    27.1","    15.3"
"USW00026451","02-14","    21.4","    27.3","    15.4"
"USW00026451","02-15","    21.5","    27.5","    15.6"
"USW00026451","02-16","    21.7","    27.7","    15.7"
"USW00026451","02-17","    21.8","    27.9","    15.8"
"USW00026451","02-18","    22.0","    28.1","    15.9"
"USW00026451","02-19","    22.1","    28.3","    15.9"
"USW00026451","02-20","    22.2","    28.5","    16.0"
"USW00026451","02-21","    22.4","    28.6","    16.1"
"USW00026451","02-22","    22.5","    28.8","    16.1"
"USW00026451","02-23","    22.6","    28.9","    16.2"
"USW00026451","02-24","    22.7","    29.1","    16.2"
"USW00026451","02-25","    22.8","    29.2","    16.3"
"USW00026451","02-26","    22.9","    29.4","    16.3"
"USW00026451","02-27","    22.9","    29.5","    16.4"
"USW00026451","02-28","    23.0","    29.7","    16.4"
