"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","08-01","    73.7","    82.7","    64.8"
"USW00014922","08-02","    73.6","    82.6","    64.7"
"USW00014922","08-03","    73.5","    82.5","    64.6"
"USW00014922","08-04","    73.4","    82.4","    64.5"
"USW00014922","08-05","    73.3","    82.3","    64.4"
"USW00014922","08-06","    73.2","    82.1","    64.3"
"USW00014922","08-07","    73.1","    82.0","    64.2"
"USW00014922","08-08","    73.0","    81.9","    64.0"
"USW00014922","08-09","    72.9","    81.8","    63.9"
"USW00014922","08-10","    72.7","    81.7","    63.8"
"USW00014922","08-11","    72.6","    81.5","    63.7"
"USW00014922","08-12","    72.5","    81.4","    63.6"
"USW00014922","08-13","    72.4","    81.3","    63.4"
"USW00014922","08-14","    72.2","    81.1","    63.3"
"USW00014922","08-15","    72.1","    81.0","    63.2"
"USW00014922","08-16","    71.9","    80.8","    63.0"
"USW00014922","08-17","    71.8","    80.7","    62.9"
"USW00014922","08-18","    71.6","    80.6","    62.7"
"USW00014922","08-19","    71.5","    80.4","    62.6"
"USW00014922","08-20","    71.3","    80.2","    62.4"
"USW00014922","08-21","    71.2","    80.1","    62.2"
"USW00014922","08-22","    71.0","    79.9","    62.0"
"USW00014922","08-23","    70.8","    79.7","    61.9"
"USW00014922","08-24","    70.6","    79.6","    61.7"
"USW00014922","08-25","    70.4","    79.4","    61.4"
"USW00014922","08-26","    70.2","    79.2","    61.2"
"USW00014922","08-27","    70.0","    79.0","    61.0"
"USW00014922","08-28","    69.8","    78.8","    60.8"
"USW00014922","08-29","    69.5","    78.6","    60.5"
"USW00014922","08-30","    69.3","    78.4","    60.3"
"USW00014922","08-31","    69.1","    78.1","    60.0"
