"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","06-01","    65.2","    74.7","    55.7"
"USW00014922","06-02","    65.6","    75.0","    56.1"
"USW00014922","06-03","    65.9","    75.4","    56.4"
"USW00014922","06-04","    66.2","    75.7","    56.8"
"USW00014922","06-05","    66.6","    76.0","    57.1"
"USW00014922","06-06","    66.9","    76.3","    57.5"
"USW00014922","06-07","    67.2","    76.6","    57.8"
"USW00014922","06-08","    67.6","    77.0","    58.2"
"USW00014922","06-09","    67.9","    77.3","    58.5"
"USW00014922","06-10","    68.2","    77.6","    58.8"
"USW00014922","06-11","    68.5","    77.9","    59.2"
"USW00014922","06-12","    68.8","    78.2","    59.5"
"USW00014922","06-13","    69.1","    78.5","    59.8"
"USW00014922","06-14","    69.5","    78.8","    60.1"
"USW00014922","06-15","    69.8","    79.1","    60.5"
"USW00014922","06-16","    70.1","    79.3","    60.8"
"USW00014922","06-17","    70.3","    79.6","    61.1"
"USW00014922","06-18","    70.6","    79.9","    61.4"
"USW00014922","06-19","    70.9","    80.2","    61.7"
"USW00014922","06-20","    71.2","    80.4","    61.9"
"USW00014922","06-21","    71.4","    80.7","    62.2"
"USW00014922","06-22","    71.7","    80.9","    62.5"
"USW00014922","06-23","    72.0","    81.2","    62.8"
"USW00014922","06-24","    72.2","    81.4","    63.0"
"USW00014922","06-25","    72.4","    81.6","    63.2"
"USW00014922","06-26","    72.6","    81.8","    63.5"
"USW00014922","06-27","    72.9","    82.0","    63.7"
"USW00014922","06-28","    73.1","    82.2","    63.9"
"USW00014922","06-29","    73.2","    82.4","    64.1"
"USW00014922","06-30","    73.4","    82.5","    64.3"
