"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","05-01","    53.8","    63.6","    44.1"
"USW00014922","05-02","    54.2","    64.0","    44.5"
"USW00014922","05-03","    54.7","    64.4","    44.9"
"USW00014922","05-04","    55.1","    64.8","    45.3"
"USW00014922","05-05","    55.5","    65.2","    45.7"
"USW00014922","05-06","    55.9","    65.6","    46.1"
"USW00014922","05-07","    56.3","    66.0","    46.5"
"USW00014922","05-08","    56.7","    66.4","    46.9"
"USW00014922","05-09","    57.0","    66.8","    47.3"
"USW00014922","05-10","    57.4","    67.1","    47.7"
"USW00014922","05-11","    57.8","    67.5","    48.1"
"USW00014922","05-12","    58.2","    67.9","    48.5"
"USW00014922","05-13","    58.6","    68.2","    48.9"
"USW00014922","05-14","    58.9","    68.6","    49.2"
"USW00014922","05-15","    59.3","    69.0","    49.6"
"USW00014922","05-16","    59.7","    69.3","    50.0"
"USW00014922","05-17","    60.0","    69.7","    50.4"
"USW00014922","05-18","    60.4","    70.0","    50.7"
"USW00014922","05-19","    60.7","    70.4","    51.1"
"USW00014922","05-20","    61.1","    70.7","    51.5"
"USW00014922","05-21","    61.4","    71.1","    51.8"
"USW00014922","05-22","    61.8","    71.4","    52.2"
"USW00014922","05-23","    62.1","    71.7","    52.5"
"USW00014922","05-24","    62.5","    72.1","    52.9"
"USW00014922","05-25","    62.8","    72.4","    53.3"
"USW00014922","05-26","    63.2","    72.7","    53.6"
"USW00014922","05-27","    63.5","    73.1","    54.0"
"USW00014922","05-28","    63.9","    73.4","    54.3"
"USW00014922","05-29","    64.2","    73.7","    54.7"
"USW00014922","05-30","    64.5","    74.1","    55.0"
"USW00014922","05-31","    64.9","    74.4","    55.4"
