"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","08-01","    59.6","    66.1","    53.2"
"USW00026451","08-02","    59.6","    66.0","    53.1"
"USW00026451","08-03","    59.5","    66.0","    53.0"
"USW00026451","08-04","    59.4","    65.9","    52.9"
"USW00026451","08-05","    59.3","    65.8","    52.8"
"USW00026451","08-06","    59.2","    65.7","    52.7"
"USW00026451","08-07","    59.1","    65.6","    52.6"
"USW00026451","08-08","    59.0","    65.5","    52.5"
"USW00026451","08-09","    58.9","    65.4","    52.4"
"USW00026451","08-10","    58.8","    65.2","    52.3"
"USW00026451","08-11","    58.6","    65.1","    52.1"
"USW00026451","08-12","    58.5","    65.0","    52.0"
"USW00026451","08-13","    58.3","    64.8","    51.8"
"USW00026451","08-14","    58.1","    64.7","    51.6"
"USW00026451","08-15","    58.0","    64.5","    51.4"
"USW00026451","08-16","    57.8","    64.3","    51.2"
"USW00026451","08-17","    57.6","    64.1","    51.0"
"USW00026451","08-18","    57.4","    63.9","    50.8"
"USW00026451","08-19","    57.2","    63.7","    50.6"
"USW00026451","08-20","    57.0","    63.5","    50.4"
"USW00026451","08-21","    56.7","    63.3","    50.1"
"USW00026451","08-22","    56.5","    63.1","    49.9"
"USW00026451","08-23","    56.3","    62.9","    49.6"
"USW00026451","08-24","    56.0","    62.6","    49.4"
"USW00026451","08-25","    55.8","    62.4","    49.1"
"USW00026451","08-26","    55.5","    62.1","    48.9"
"USW00026451","08-27","    55.2","    61.9","    48.6"
"USW00026451","08-28","    55.0","    61.6","    48.3"
"USW00026451","08-29","    54.7","    61.3","    48.1"
"USW00026451","08-30","    54.4","    61.1","    47.8"
"USW00026451","08-31","    54.1","    60.8","    47.5"
