"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","10-01","    43.8","    49.8","    37.8"
"USW00026451","10-02","    43.4","    49.3","    37.4"
"USW00026451","10-03","    42.9","    48.8","    37.0"
"USW00026451","10-04","    42.5","    48.4","    36.6"
"USW00026451","10-05","    42.0","    47.9","    36.1"
"USW00026451","10-06","    41.6","    47.4","    35.7"
"USW00026451","10-07","    41.1","    46.9","    35.3"
"USW00026451","10-08","    40.6","    46.4","    34.8"
"USW00026451","10-09","    40.1","    45.9","    34.3"
"USW00026451","10-10","    39.6","    45.4","    33.9"
"USW00026451","10-11","    39.1","    44.8","    33.4"
"USW00026451","10-12","    38.6","    44.3","    32.9"
"USW00026451","10-13","    38.1","    43.8","    32.4"
"USW00026451","10-14","    37.5","    43.2","    31.9"
"USW00026451","10-15","    37.0","    42.7","    31.4"
"USW00026451","10-16","    36.5","    42.1","    30.9"
"USW00026451","10-17","    35.9","    41.5","    30.3"
"USW00026451","10-18","    35.4","    41.0","    29.8"
"USW00026451","10-19","    34.8","    40.4","    29.3"
"USW00026451","10-20","    34.3","    39.9","    28.7"
"USW00026451","10-21","    33.8","    39.3","    28.2"
"USW00026451","10-22","    33.2","    38.7","    27.7"
"USW00026451","10-23","    32.7","    38.2","    27.2"
"USW00026451","10-24","    32.1","    37.6","    26.6"
"USW00026451","10-25","    31.6","    37.1","    26.1"
"USW00026451","10-26","    31.1","    36.5","    25.6"
"USW00026451","10-27","    30.5","    36.0","    25.1"
"USW00026451","10-28","    30.0","    35.5","    24.6"
"USW00026451","10-29","    29.5","    35.0","    24.1"
"USW00026451","10-30","    29.0","    34.5","    23.6"
"USW00026451","10-31","    28.5","    34.0","    23.1"
