"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","11-01","    41.9","    49.5","    34.3"
"USW00014922","11-02","    41.4","    49.0","    33.8"
"USW00014922","11-03","    40.9","    48.4","    33.4"
"USW00014922","11-04","    40.4","    47.9","    33.0"
"USW00014922","11-05","    39.9","    47.4","    32.5"
"USW00014922","11-06","    39.5","    46.8","    32.1"
"USW00014922","11-07","    39.0","    46.3","    31.6"
"USW00014922","11-08","    38.5","    45.8","    31.2"
"USW00014922","11-09","    38.0","    45.2","    30.7"
"USW00014922","11-10","    37.5","    44.7","    30.3"
"USW00014922","11-11","    37.0","    44.2","    29.8"
"USW00014922","11-12","    36.5","    43.6","    29.4"
"USW00014922","11-13","    36.0","    43.1","    28.9"
"USW00014922","11-14","    35.5","    42.6","    28.4"
"USW00014922","11-15","    35.0","    42.1","    28.0"
"USW00014922","11-16","    34.5","    41.5","    27.5"
"USW00014922","11-17","    34.0","    41.0","    27.0"
"USW00014922","11-18","    33.5","    40.5","    26.6"
"USW00014922","11-19","    33.0","    40.0","    26.1"
"USW00014922","11-20","    32.6","    39.5","    25.6"
"USW00014922","11-21","    32.1","    39.0","    25.1"
"USW00014922","11-22","    31.6","    38.5","    24.7"
"USW00014922","11-23","    31.1","    38.0","    24.2"
"USW00014922","11-24","    30.6","    37.5","    23.7"
"USW00014922","11-25","    30.1","    37.0","    23.3"
"USW00014922","11-26","    29.7","    36.5","    22.8"
"USW00014922","11-27","    29.2","    36.0","    22.4"
"USW00014922","11-28","    28.7","    35.6","    21.9"
"USW00014922","11-29","    28.3","    35.1","    21.5"
"USW00014922","11-30","    27.8","    34.7","    21.0"
