"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","04-01","    40.6","    49.7","    31.5"
"USW00014922","04-02","    41.0","    50.2","    31.9"
"USW00014922","04-03","    41.5","    50.7","    32.3"
"USW00014922","04-04","    41.9","    51.2","    32.7"
"USW00014922","04-05","    42.4","    51.6","    33.1"
"USW00014922","04-06","    42.8","    52.1","    33.5"
"USW00014922","04-07","    43.3","    52.6","    33.9"
"USW00014922","04-08","    43.7","    53.1","    34.3"
"USW00014922","04-09","    44.2","    53.6","    34.7"
"USW00014922","04-10","    44.6","    54.1","    35.1"
"USW00014922","04-11","    45.1","    54.6","    35.6"
"USW00014922","04-12","    45.5","    55.0","    36.0"
"USW00014922","04-13","    46.0","    55.5","    36.4"
"USW00014922","04-14","    46.4","    56.0","    36.8"
"USW00014922","04-15","    46.9","    56.5","    37.2"
"USW00014922","04-16","    47.3","    56.9","    37.7"
"USW00014922","04-17","    47.7","    57.4","    38.1"
"USW00014922","04-18","    48.2","    57.9","    38.5"
"USW00014922","04-19","    48.6","    58.3","    39.0"
"USW00014922","04-20","    49.1","    58.8","    39.4"
"USW00014922","04-21","    49.5","    59.2","    39.8"
"USW00014922","04-22","    50.0","    59.7","    40.2"
"USW00014922","04-23","    50.4","    60.1","    40.7"
"USW00014922","04-24","    50.8","    60.6","    41.1"
"USW00014922","04-25","    51.3","    61.0","    41.5"
"USW00014922","04-26","    51.7","    61.5","    42.0"
"USW00014922","04-27","    52.1","    61.9","    42.4"
"USW00014922","04-28","    52.6","    62.3","    42.8"
"USW00014922","04-29","    53.0","    62.8","    43.2"
"USW00014922","04-30","    53.4","    63.2","    43.7"
