daily_mean,daily_high,daily_low
41.6,47.4,35.7
41.1,46.9,35.3
40.6,46.4,34.8
40.1,45.9,34.3
39.6,45.4,33.9
39.1,44.8,33.4
38.6,44.3,32.9
38.1,43.8,32.4
37.5,43.2,31.9
37,42.7,31.4
36.5,42.1,30.9
35.9,41.5,30.3
35.4,41,29.8
34.8,40.4,29.3
34.3,39.9,28.7
33.8,39.3,28.2
33.2,38.7,27.7
32.7,38.2,27.2
32.1,37.6,26.6
31.6,37.1,26.1
31.1,36.5,25.6
30.5,36,25.1
30,35.5,24.6
29.5,35,24.1
29,34.5,23.6
28.5,34,23.1
28.1,33.5,22.7
27.6,33,22.2
27.2,32.6,21.8
26.7,32.1,21.4
26.3,31.7,21
25.9,31.3,20.6
25.5,30.9,20.2
25.2,30.5,19.8
24.8,30.2,19.5
24.5,29.8,19.2
24.2,29.5,18.9
23.9,29.2,18.6
23.6,28.9,18.3
23.4,28.7,18.1
23.1,28.4,17.9
22.9,28.2,17.6
22.7,28,17.4
22.5,27.8,17.2
22.3,27.6,17.1
22.2,27.4,16.9
22,27.3,16.8
21.9,27.1,16.6
21.8,27,16.5
21.6,26.9,16.4
21.5,26.8,16.3
21.4,26.7,16.2
21.3,26.6,16.1
21.3,26.5,16
21.2,26.5,15.9
21.1,26.4,15.8
21,26.3,15.7
21,26.3,15.7
20.9,26.2,15.6
20.8,26.1,15.5
20.7,26.1,15.4
20.7,26,15.3
20.6,26,15.2
20.5,25.9,15.1
20.4,25.8,15
20.3,25.7,14.9
20.2,25.7,14.7
20.1,25.6,14.6
20,25.5,14.5
19.9,25.4,14.3
19.7,25.3,14.2
19.6,25.2,14
19.5,25.1,13.8
19.3,25,13.7
19.2,24.8,13.5
19,24.7,13.3
18.8,24.6,13.1
18.7,24.4,12.9
18.5,24.3,12.7
18.3,24.1,12.6
18.2,24,12.4
18,23.9,12.2
17.8,23.7,12
17.7,23.6,11.8
17.5,23.4,11.6
17.4,23.3,11.5
17.2,23.1,11.3
