daily_mean,daily_high,daily_low
17.6,24.6,10.7
17.4,24.4,10.5
17.3,24.2,10.3
17.1,24.1,10.1
16.9,24,9.9
16.8,23.8,9.7
16.6,23.7,9.5
16.5,23.6,9.3
16.4,23.5,9.2
16.2,23.4,9
16.1,23.4,8.9
16,23.3,8.8
15.9,23.3,8.6
15.9,23.2,8.5
15.8,23.2,8.4
15.7,23.2,8.3
15.7,23.1,8.3
15.7,23.1,8.2
15.6,23.2,8.1
15.6,23.2,8.1
15.6,23.2,8.1
15.7,23.3,8.1
15.7,23.3,8.1
15.7,23.4,8.1
15.8,23.5,8.1
15.9,23.6,8.1
15.9,23.7,8.2
16,23.8,8.3
16.2,23.9,8.4
16.3,24.1,8.5
16.4,24.3,8.6
16.6,24.4,8.8
16.8,24.6,8.9
17,24.8,9.1
17.2,25.1,9.3
17.4,25.3,9.5
17.6,25.5,9.8
17.9,25.8,10
18.2,26.1,10.3
18.4,26.4,10.5
18.7,26.7,10.8
19.1,27,11.1
19.4,27.3,11.5
19.7,27.6,11.8
20.1,28,12.1
20.4,28.3,12.5
20.8,28.7,12.9
21.2,29.1,13.3
21.6,29.5,13.7
22,29.9,14.1
22.4,30.3,14.5
22.8,30.7,14.9
23.2,31.1,15.3
23.6,31.5,15.7
24.1,32,16.2
24.5,32.4,16.6
25,32.9,17.1
25.4,33.3,17.5
25.9,33.8,18
26.3,34.3,18.4
26.8,34.8,18.9
27.3,35.2,19.3
27.7,35.7,19.8
28.2,36.2,20.2
28.7,36.7,20.7
29.1,37.2,21.1
29.6,37.7,21.5
30.1,38.2,22
30.6,38.7,22.4
31,39.2,22.9
31.5,39.7,23.3
32,40.2,23.7
32.4,40.7,24.2
32.9,41.2,24.6
33.3,41.7,25
33.8,42.2,25.4
34.3,42.7,25.8
34.7,43.2,26.3
35.2,43.7,26.7
35.6,44.2,27.1
36.1,44.7,27.5
36.5,45.2,27.9
37,45.7,28.3
37.4,46.2,28.7
37.9,46.7,29.1
38.3,47.2,29.5
38.8,47.7,29.9
39.2,48.2,30.3
39.7,48.7,30.7
40.1,49.2,31.1
40.6,49.7,31.5
41,50.2,31.9
41.5,50.7,32.3
41.9,51.2,32.7
42.4,51.6,33.1
42.8,52.1,33.5
43.3,52.6,33.9
43.7,53.1,34.3
44.2,53.6,34.7
44.6,54.1,35.1
45.1,54.6,35.6
45.5,55,36
46,55.5,36.4
46.4,56,36.8
46.9,56.5,37.2
47.3,56.9,37.7
47.7,57.4,38.1
48.2,57.9,38.5
48.6,58.3,39
49.1,58.8,39.4
49.5,59.2,39.8
50,59.7,40.2
50.4,60.1,40.7
50.8,60.6,41.1
51.3,61,41.5
51.7,61.5,42
52.1,61.9,42.4
52.6,62.3,42.8
53,62.8,43.2
53.4,63.2,43.7
53.8,63.6,44.1
54.2,64,44.5
54.7,64.4,44.9
55.1,64.8,45.3
55.5,65.2,45.7
55.9,65.6,46.1
56.3,66,46.5
56.7,66.4,46.9
57,66.8,47.3
57.4,67.1,47.7
57.8,67.5,48.1
58.2,67.9,48.5
58.6,68.2,48.9
58.9,68.6,49.2
59.3,69,49.6
59.7,69.3,50
60,69.7,50.4
60.4,70,50.7
60.7,70.4,51.1
61.1,70.7,51.5
61.4,71.1,51.8
61.8,71.4,52.2
