daily_mean,daily_high,daily_low
62.1,71.7,52.5
62.5,72.1,52.9
62.8,72.4,53.3
63.2,72.7,53.6
63.5,73.1,54
63.9,73.4,54.3
64.2,73.7,54.7
64.5,74.1,55
64.9,74.4,55.4
65.2,74.7,55.7
65.6,75,56.1
65.9,75.4,56.4
66.2,75.7,56.8
66.6,76,57.1
66.9,76.3,57.5
67.2,76.6,57.8
67.6,77,58.2
67.9,77.3,58.5
68.2,77.6,58.8
68.5,77.9,59.2
68.8,78.2,59.5
69.1,78.5,59.8
69.5,78.8,60.1
69.8,79.1,60.5
70.1,79.3,60.8
70.3,79.6,61.1
70.6,79.9,61.4
70.9,80.2,61.7
71.2,80.4,61.9
71.4,80.7,62.2
71.7,80.9,62.5
72,81.2,62.8
72.2,81.4,63
72.4,81.6,63.2
72.6,81.8,63.5
72.9,82,63.7
73.1,82.2,63.9
73.2,82.4,64.1
73.4,82.5,64.3
73.6,82.7,64.5
73.7,82.9,64.6
73.9,83,64.8
74,83.1,64.9
74.1,83.2,65
74.2,83.3,65.2
74.3,83.4,65.3
74.4,83.5,65.3
74.5,83.6,65.4
74.6,83.6,65.5
74.6,83.7,65.5
74.7,83.7,65.6
74.7,83.7,65.6
74.7,83.8,65.6
74.7,83.8,65.7
74.7,83.8,65.7
74.7,83.8,65.7
74.7,83.7,65.6
74.7,83.7,65.6
74.6,83.7,65.6
74.6,83.6,65.5
74.5,83.6,65.5
74.5,83.5,65.5
74.4,83.4,65.4
74.3,83.4,65.3
74.3,83.3,65.3
74.2,83.2,65.2
74.1,83.1,65.1
74,83,65
73.9,82.9,64.9
73.8,82.8,64.9
73.7,82.7,64.8
73.6,82.6,64.7
73.5,82.5,64.6
73.4,82.4,64.5
73.3,82.3,64.4
73.2,82.1,64.3
73.1,82,64.2
73,81.9,64
72.9,81.8,63.9
72.7,81.7,63.8
72.6,81.5,63.7
72.5,81.4,63.6
72.4,81.3,63.4
72.2,81.1,63.3
72.1,81,63.2
71.9,80.8,63
71.8,80.7,62.9
71.6,80.6,62.7
71.5,80.4,62.6
71.3,80.2,62.4
71.2,80.1,62.2
71,79.9,62
70.8,79.7,61.9
70.6,79.6,61.7
70.4,79.4,61.4
70.2,79.2,61.2
70,79,61
69.8,78.8,60.8
69.5,78.6,60.5
69.3,78.4,60.3
69.1,78.1,60
68.8,77.9,59.7
68.5,77.6,59.4
68.2,77.4,59.1
68,77.1,58.8
67.7,76.8,58.5
67.3,76.5,58.1
67,76.3,57.8
66.7,75.9,57.4
66.3,75.6,57.1
66,75.3,56.7
65.6,74.9,56.3
65.2,74.6,55.9
64.9,74.2,55.5
64.5,73.9,55.1
64.1,73.5,54.7
63.7,73.1,54.2
63.2,72.7,53.8
62.8,72.3,53.4
62.4,71.8,52.9
61.9,71.4,52.5
61.5,70.9,52
61,70.5,51.5
60.6,70,51.1
60.1,69.6,50.6
59.6,69.1,50.2
59.1,68.6,49.7
58.7,68.1,49.2
58.2,67.6,48.8
57.7,67.1,48.3
57.2,66.6,47.8
56.7,66.1,47.4
56.2,65.6,46.9
55.8,65.1,46.5
55.3,64.5,46
54.8,64,45.5
54.3,63.5,45.1
53.8,63,44.7
53.3,62.4,44.2
52.8,61.9,43.8
52.3,61.3,43.3
51.9,60.8,42.9
51.4,60.3,42.5
50.9,59.7,42.1
50.4,59.2,41.7
49.9,58.7,41.2
49.5,58.1,40.8
49,57.6,40.4
48.5,57,40
48,56.5,39.6
47.6,55.9,39.2
47.1,55.4,38.8
46.6,54.9,38.4
46.2,54.3,38
45.7,53.8,37.6
45.2,53.3,37.2
44.7,52.7,36.8
44.3,52.2,36.3
43.8,51.6,35.9
43.3,51.1,35.5
42.8,50.6,35.1
42.4,50,34.7
41.9,49.5,34.3
41.4,49,33.8
40.9,48.4,33.4
40.4,47.9,33
39.9,47.4,32.5
39.5,46.8,32.1
39,46.3,31.6
38.5,45.8,31.2
38,45.2,30.7
37.5,44.7,30.3
37,44.2,29.8
36.5,43.6,29.4
36,43.1,28.9
35.5,42.6,28.4
35,42.1,28
34.5,41.5,27.5
34,41,27
33.5,40.5,26.6
33,40,26.1
32.6,39.5,25.6
32.1,39,25.1
31.6,38.5,24.7
31.1,38,24.2
30.6,37.5,23.7
30.1,37,23.3
29.7,36.5,22.8
29.2,36,22.4
28.7,35.6,21.9
28.3,35.1,21.5
27.8,34.7,21
27.4,34.2,20.6
27,33.8,20.2
26.5,33.3,19.7
26.1,32.9,19.3
25.7,32.5,18.9
25.3,32.1,18.5
24.9,31.7,18.1
24.5,31.3,17.7
24.1,30.9,17.3
23.7,30.5,17
23.4,30.1,16.6
23,29.8,16.2
22.7,29.4,15.9
22.3,29.1,15.6
22,28.7,15.2
21.7,28.4,14.9
21.3,28.1,14.6
21,27.8,14.3
20.7,27.5,14
20.5,27.2,13.7
20.2,27,13.4
19.9,26.7,13.1
19.6,26.4,12.8
19.4,26.2,12.6
19.1,26,12.3
18.9,25.7,12.1
18.7,25.5,11.8
18.4,25.3,11.6
18.2,25.1,11.3
18,24.9,11.1
17.8,24.7,10.9
