"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","01-01","    17.1","    23.0","    11.1"
"USW00026451","01-02","    16.9","    22.9","    11.0"
"USW00026451","01-03","    16.8","    22.7","    10.9"
"USW00026451","01-04","    16.7","    22.6","    10.7"
"USW00026451","01-05","    16.6","    22.5","    10.6"
"USW00026451","01-06","    16.5","    22.4","    10.5"
"USW00026451","01-07","    16.4","    22.3","    10.4"
"USW00026451","01-08","    16.3","    22.3","    10.4"
"USW00026451","01-09","    16.3","    22.2","    10.3"
"USW00026451","01-10","    16.2","    22.2","    10.3"
"USW00026451","01-11","    16.2","    22.1","    10.3"
"USW00026451","01-12","    16.2","    22.1","    10.3"
"USW00026451","01-13","    16.2","    22.1","    10.3"
"USW00026451","01-14","    16.2","    22.1","    10.3"
"USW00026451","01-15","    16.2","    22.1","    10.3"
"USW00026451","01-16","    16.3","    22.2","    10.4"
"USW00026451","01-17","    16.3","    22.2","    10.5"
"USW00026451","01-18","    16.4","    22.3","    10.6"
"USW00026451","01-19","    16.5","    22.3","    10.7"
"USW00026451","01-20","    16.6","    22.4","    10.8"
"USW00026451","01-21","    16.8","    22.5","    11.0"
"USW00026451","01-22","    16.9","    22.7","    11.1"
"USW00026451","01-23","    17.0","    22.8","    11.3"
"USW00026451","01-24","    17.2","    23.0","    11.4"
"USW00026451","01-25","    17.4","    23.1","    11.6"
"USW00026451","01-26","    17.5","    23.3","    11.8"
"USW00026451","01-27","    17.7","    23.5","    12.0"
"USW00026451","01-28","    17.9","    23.6","    12.2"
"USW00026451","01-29","    18.1","    23.8","    12.4"
"USW00026451","01-30","    18.3","    24.0","    12.6"
"USW00026451","01-31","    18.6","    24.3","    12.9"
