"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","05-01","    43.9","    51.8","    36.0"
"USW00026451","05-02","    44.2","    52.2","    36.2"
"USW00026451","05-03","    44.5","    52.5","    36.5"
"USW00026451","05-04","    44.8","    52.9","    36.8"
"USW00026451","05-05","    45.2","    53.2","    37.1"
"USW00026451","05-06","    45.4","    53.5","    37.4"
"USW00026451","05-07","    45.7","    53.8","    37.6"
"USW00026451","05-08","    46.0","    54.1","    37.9"
"USW00026451","05-09","    46.3","    54.5","    38.2"
"USW00026451","05-10","    46.6","    54.7","    38.4"
"USW00026451","05-11","    46.9","    55.0","    38.7"
"USW00026451","05-12","    47.1","    55.3","    38.9"
"USW00026451","05-13","    47.4","    55.6","    39.2"
"USW00026451","05-14","    47.7","    55.9","    39.4"
"USW00026451","05-15","    47.9","    56.2","    39.7"
"USW00026451","05-16","    48.2","    56.4","    40.0"
"USW00026451","05-17","    48.5","    56.7","    40.2"
"USW00026451","05-18","    48.7","    57.0","    40.5"
"USW00026451","05-19","    49.0","    57.2","    40.7"
"USW00026451","05-20","    49.2","    57.5","    41.0"
"USW00026451","05-21","    49.5","    57.7","    41.3"
"USW00026451","05-22","    49.8","    58.0","    41.5"
"USW00026451","05-23","    50.0","    58.3","    41.8"
"USW00026451","05-24","    50.3","    58.5","    42.1"
"USW00026451","05-25","    50.6","    58.8","    42.4"
"USW00026451","05-26","    50.8","    59.0","    42.7"
"USW00026451","05-27","    51.1","    59.3","    43.0"
"USW00026451","05-28","    51.4","    59.5","    43.3"
"USW00026451","05-29","    51.7","    59.8","    43.6"
"USW00026451","05-30","    51.9","    60.0","    43.8"
"USW00026451","05-31","    52.2","    60.3","    44.1"
