"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","03-01","    23.1","    29.8","    16.4"
"USW00026451","03-02","    23.2","    30.0","    16.5"
"USW00026451","03-03","    23.3","    30.1","    16.5"
"USW00026451","03-04","    23.4","    30.3","    16.6"
"USW00026451","03-05","    23.5","    30.4","    16.6"
"USW00026451","03-06","    23.6","    30.6","    16.7"
"USW00026451","03-07","    23.7","    30.7","    16.8"
"USW00026451","03-08","    23.9","    30.9","    16.8"
"USW00026451","03-09","    24.0","    31.1","    16.9"
"USW00026451","03-10","    24.1","    31.2","    17.0"
"USW00026451","03-11","    24.3","    31.4","    17.1"
"USW00026451","03-12","    24.4","    31.6","    17.3"
"USW00026451","03-13","    24.6","    31.8","    17.4"
"USW00026451","03-14","    24.8","    32.0","    17.6"
"USW00026451","03-15","    25.0","    32.3","    17.8"
"USW00026451","03-16","    25.2","    32.5","    18.0"
"USW00026451","03-17","    25.5","    32.8","    18.2"
"USW00026451","03-18","    25.7","    33.1","    18.4"
"USW00026451","03-19","    26.0","    33.3","    18.6"
"USW00026451","03-20","    26.3","    33.6","    18.9"
"USW00026451","03-21","    26.6","    33.9","    19.2"
"USW00026451","03-22","    26.9","    34.3","    19.5"
"USW00026451","03-23","    27.2","    34.6","    19.8"
"USW00026451","03-24","    27.6","    35.0","    20.1"
"USW00026451","03-25","    27.9","    35.3","    20.5"
"USW00026451","03-26","    28.3","    35.7","    20.9"
"USW00026451","03-27","    28.7","    36.1","    21.3"
"USW00026451","03-28","    29.1","    36.5","    21.6"
"USW00026451","03-29","    29.5","    36.9","    22.1"
"USW00026451","03-30","    29.9","    37.4","    22.5"
"USW00026451","03-31","    30.4","    37.8","    22.9"
