"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","12-01","    21.0","    26.3","    15.7"
"USW00026451","12-02","    21.0","    26.3","    15.7"
"USW00026451","12-03","    20.9","    26.2","    15.6"
"USW00026451","12-04","    20.8","    26.1","    15.5"
"USW00026451","12-05","    20.7","    26.1","    15.4"
"USW00026451","12-06","    20.7","    26.0","    15.3"
"USW00026451","12-07","    20.6","    26.0","    15.2"
"USW00026451","12-08","    20.5","    25.9","    15.1"
"USW00026451","12-09","    20.4","    25.8","    15.0"
"USW00026451","12-10","    20.3","    25.7","    14.9"
"USW00026451","12-11","    20.2","    25.7","    14.7"
"USW00026451","12-12","    20.1","    25.6","    14.6"
"USW00026451","12-13","    20.0","    25.5","    14.5"
"USW00026451","12-14","    19.9","    25.4","    14.3"
"USW00026451","12-15","    19.7","    25.3","    14.2"
"USW00026451","12-16","    19.6","    25.2","    14.0"
"USW00026451","12-17","    19.5","    25.1","    13.8"
"USW00026451","12-18","    19.3","    25.0","    13.7"
"USW00026451","12-19","    19.2","    24.8","    13.5"
"USW00026451","12-20","    19.0","    24.7","    13.3"
"USW00026451","12-21","    18.8","    24.6","    13.1"
"USW00026451","12-22","    18.7","    24.4","    12.9"
"USW00026451","12-23","    18.5","    24.3","    12.7"
"USW00026451","12-24","    18.3","    24.1","    12.6"
"USW00026451","12-25","    18.2","    24.0","    12.4"
"USW00026451","12-26","    18.0","    23.9","    12.2"
"USW00026451","12-27","    17.8","    23.7","    12.0"
"USW00026451","12-28","    17.7","    23.6","    11.8"
"USW00026451","12-29","    17.5","    23.4","    11.6"
"USW00026451","12-30","    17.4","    23.3","    11.5"
"USW00026451","12-31","    17.2","    23.1","    11.3"
