"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","09-01","    68.8","    77.9","    59.7"
"USW00014922","09-02","    68.5","    77.6","    59.4"
"USW00014922","09-03","    68.2","    77.4","    59.1"
"USW00014922","09-04","    68.0","    77.1","    58.8"
"USW00014922","09-05","    67.7","    76.8","    58.5"
"USW00014922","09-06","    67.3","    76.5","    58.1"
"USW00014922","09-07","    67.0","    76.3","    57.8"
"USW00014922","09-08","    66.7","    75.9","    57.4"
"USW00014922","09-09","    66.3","    75.6","    57.1"
"USW00014922","09-10","    66.0","    75.3","    56.7"
"USW00014922","09-11","    65.6","    74.9","    56.3"
"USW00014922","09-12","    65.2","    74.6","    55.9"
"USW00014922","09-13","    64.9","    74.2","    55.5"
"USW00014922","09-14","    64.5","    73.9","    55.1"
"USW00014922","09-15","    64.1","    73.5","    54.7"
"USW00014922","09-16","    63.7","    73.1","    54.2"
"USW00014922","09-17","    63.2","    72.7","    53.8"
"USW00014922","09-18","    62.8","    72.3","    53.4"
"USW00014922","09-19","    62.4","    71.8","    52.9"
"USW00014922","09-20","    61.9","    71.4","    52.5"
"USW00014922","09-21","    61.5","    70.9","    52.0"
"USW00014922","09-22","    61.0","    70.5","    51.5"
"USW00014922","09-23","    60.6","    70.0","    51.1"
"USW00014922","09-24","    60.1","    69.6","    50.6"
"USW00014922","09-25","    59.6","    69.1","    50.2"
"USW00014922","09-26","    59.1","    68.6","    49.7"
"USW00014922","09-27","    58.7","    68.1","    49.2"
"USW00014922","09-28","    58.2","    67.6","    48.8"
"USW00014922","09-29","    57.7","    67.1","    48.3"
"USW00014922","09-30","    57.2","    66.6","    47.8"
