"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","06-01","    52.5","    60.5","    44.4"
"USW00026451","06-02","    52.7","    60.7","    44.7"
"USW00026451","06-03","    53.0","    61.0","    45.0"
"USW00026451","06-04","    53.3","    61.2","    45.4"
"USW00026451","06-05","    53.5","    61.4","    45.7"
"USW00026451","06-06","    53.8","    61.7","    45.9"
"USW00026451","06-07","    54.1","    61.9","    46.2"
"USW00026451","06-08","    54.3","    62.1","    46.5"
"USW00026451","06-09","    54.6","    62.3","    46.8"
"USW00026451","06-10","    54.8","    62.5","    47.1"
"USW00026451","06-11","    55.1","    62.7","    47.4"
"USW00026451","06-12","    55.3","    62.9","    47.7"
"USW00026451","06-13","    55.6","    63.1","    48.0"
"USW00026451","06-14","    55.8","    63.3","    48.2"
"USW00026451","06-15","    56.0","    63.5","    48.5"
"USW00026451","06-16","    56.2","    63.7","    48.8"
"USW00026451","06-17","    56.4","    63.9","    49.0"
"USW00026451","06-18","    56.6","    64.0","    49.2"
"USW00026451","06-19","    56.8","    64.2","    49.5"
"USW00026451","06-20","    57.0","    64.4","    49.7"
"USW00026451","06-21","    57.2","    64.5","    49.9"
"USW00026451","06-22","    57.4","    64.7","    50.2"
"USW00026451","06-23","    57.6","    64.8","    50.4"
"USW00026451","06-24","    57.7","    64.9","    50.6"
"USW00026451","06-25","    57.9","    65.0","    50.7"
"USW00026451","06-26","    58.0","    65.2","    50.9"
"USW00026451","06-27","    58.2","    65.3","    51.1"
"USW00026451","06-28","    58.3","    65.4","    51.3"
"USW00026451","06-29","    58.4","    65.5","    51.4"
"USW00026451","06-30","    58.6","    65.6","    51.6"
