"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00026451","07-01","    58.7","    65.6","    51.7"
"USW00026451","07-02","    58.8","    65.7","    51.9"
"USW00026451","07-03","    58.9","    65.8","    52.0"
"USW00026451","07-04","    59.0","    65.9","    52.1"
"USW00026451","07-05","    59.1","    65.9","    52.2"
"USW00026451","07-06","    59.2","    66.0","    52.3"
"USW00026451","07-07","    59.2","    66.0","    52.5"
"USW00026451","07-08","    59.3","    66.1","    52.5"
"USW00026451","07-09","    59.4","    66.1","    52.6"
"USW00026451","07-10","    59.5","    66.2","    52.7"
"USW00026451","07-11","    59.5","    66.2","    52.8"
"USW00026451","07-12","    59.6","    66.3","    52.9"
"USW00026451","07-13","    59.6","    66.3","    53.0"
"USW00026451","07-14","    59.7","    66.3","    53.0"
"USW00026451","07-15","    59.7","    66.3","    53.1"
"USW00026451","07-16","    59.7","    66.4","    53.1"
"USW00026451","07-17","    59.8","    66.4","    53.2"
"USW00026451","07-18","    59.8","    66.4","    53.2"
"USW00026451","07-19","    59.8","    66.4","    53.3"
"USW00026451","07-20","    59.8","    66.4","    53.3"
"USW00026451","07-21","    59.9","    66.4","    53.3"
"USW00026451","07-22","    59.9","    66.4","    53.3"
"USW00026451","07-23","    59.9","    66.4","    53.3"
"USW00026451","07-24","    59.9","    66.4","    53.4"
"USW00026451","07-25","    59.9","    66.4","    53.4"
"USW00026451","07-26","    59.8","    66.3","    53.3"
"USW00026451","07-27","    59.8","    66.3","    53.3"
"USW00026451","07-28","    59.8","    66.3","    53.3"
"USW00026451","07-29","    59.8","    66.2","    53.3"
"USW00026451","07-30","    59.7","    66.2","    53.2"
"USW00026451","07-31","    59.7","    66.1","    53.2"
